therapy_code,therapy_title,therapy_concept_id,component_code,component_title,component_concept_id
isa_krd,Isa-KRd,,carfilzomib,Carfilzomib,35802942
isa_krd,Isa-KRd,,dexamethasone,Dexamethasone,35803008
isa_krd,Isa-KRd,,isa_krd quadruplet,Isa-KRd quadruplet,
isa_krd,Isa-KRd,,isatuximab,Isatuximab,35803134
isa_krd,Isa-KRd,,lenalidomide,Lenalidomide (Revlimid),
isa_pd,Isa-Pd,911941,dexamethasone,Dexamethasone,35803008
isa_pd,Isa-Pd,911941,isatuximab,Isatuximab,35803134
isa_pd,Isa-Pd,911941,pomalidomide,Pomalidomide,35803260
isa_vrd,Isa-VRd,,bortezomib_(velcade),Bortezomib (Velcade),
isa_vrd,Isa-VRd,,dexamethasone,Dexamethasone,35803008
isa_vrd,Isa-VRd,,isa_vrd_quadruplet,Isa_VRd quadruplet,
isa_vrd,Isa-VRd,,isatuximab,Isatuximab,35803134
isa_vrd,Isa-VRd,,lenalidomide,Lenalidomide (Revlimid),
isatuximab,Isatuximab (Sarclisa) Monotherapy,,isatuximab,Isatuximab,35803134
itraconazole,Itraconazole (Sporanox) - antifungal,,itraconazole,Itraconazole,35803136
ivig,IVIG (intravenous immunoglobulin),,ivig,IVIG (intravenous immunoglobulin),
ixazomib_maintenance,Ixazomib (maintenance),,ixazomib,Ixazomib,35803139
kd,Kd,,carfilzomib,Carfilzomib,35802942
kd,Kd,,dexamethasone,Dexamethasone,35803008
kd,Kd,,kd_doublet,Kd doublet,
ketoconazole,Ketoconazole - antifungal,,ketoconazole,Ketoconazole,35803140
kpd,KPd,35806324,carfilzomib,Carfilzomib,35802942
kpd,KPd,35806324,dexamethasone,Dexamethasone,35803008
kpd,KPd,35806324,pomalidomide,Pomalidomide,35803260
krd,KRd,35806284,carfilzomib,Carfilzomib,35802942
krd,KRd,35806284,dexamethasone,Dexamethasone,35803008
krd,KRd,35806284,krd_triplet,KRd triplet,
krd,KRd,35806284,lenalidomide,Lenalidomide (Revlimid),
lamivudine,Lamivudine,,lamivudine,Lamivudine,35803143
lapatinib_(tykerb),Lapatinib (Tykerb),,lapatinib,Lapatinib,35803146
lapatinib_(tykerb)_maintenance,Lapatinib (Tykerb) Maintenance,,lapatinib,Lapatinib,35803146
larotrectinib,Larotrectinib,,larotrectinib,Larotrectinib,35803148
ldr,Low-Dose Radiotherapy,,low_dose_radiotherapy,Low Dose Radiotherapy,
lenalidomide,Lenalidomide (Revlimid) Monotherapy,,lenalidomide,Lenalidomide (Revlimid),
lenalidomide_maintenance,Lenalidomide (Revlimid) maintenance,,lenalidomide,Lenalidomide (Revlimid),
letrozole,Letrozole,1968809226,letrozole,Letrozole,35803154
letrozole_maintenance,Letrozole Maintenance,,letrozole,Letrozole,35803154
lhrh_gnrh_agonists,"LHRH/GnRH agonists (e.g., goserelin, leuprolide, triptorelin, buserelin)",,lhrh_gnrh_agonist,LHRH/GnRH agonist,
liposomal_doxorubicin,Liposomal Doxorubicin,,doxorubicin,Doxorubicin,35803022
lisocabtagene_maraleucel_(breyanzi),lisocabtagene maraleucel (Breyanzi),,lisocabtagene_maraleucel,lisocabtagene maraleucel,912085
local_palliative_radiotherapy,Local palliative radiotherapy,,palliative_radiotherapy,Palliative Radiotherapy,
lr,Lenalidomide (Revlimid) + Rituximab (R2),,lenalidomide,Lenalidomide (Revlimid),
lr,Lenalidomide (Revlimid) + Rituximab (R2),,rituximab,Rituximab,35803296
lumpectomy,Lumpectomy,,lumpectomy,Lumpectomy,
lumpectomy_radiation,Lumpectomy + Radiation,,adjuvant_radiotherapy,Adjuvant Radiotherapy,
lumpectomy_radiation,Lumpectomy + Radiation,,ipsilateral-breast-radiation,Ipsilateral Breast Radiation,
lumpectomy_radiation,Lumpectomy + Radiation,,lumpectomy,Lumpectomy,
margetuximab,Margetuximab,,margetuximab,Margetuximab,912179
mastectomy,Mastectomy,,mastectomy,Mastectomy,
mastectomy_radiation,Mastectomy + Radiation,,adjuvant_radiotherapy,Adjuvant Radiotherapy,
mastectomy_radiation,Mastectomy + Radiation,,ipsilateral-breast-radiation,Ipsilateral Breast Radiation,
mastectomy_radiation,Mastectomy + Radiation,,mastectomy,Mastectomy,
megestrol_acetate,Megestrol acetate,,megestrol_acetate,Megestrol acetate,
melphalan,Melphalan Monotherapy,35804011,cyclophosphamide,Cyclophosphamide,35802975
melphalan,Melphalan Monotherapy,35804011,melphalan,Melphalan,35803175
mineralocorticoids,"mineralocorticoids (e.g., fludrocortisone)",,mineralocorticoid,Mineralocorticoid,
mosunetuzumab,Mosunetuzumab,,mosunetuzumab,Mosunetuzumab,37557145
mp,MP,,melphalan,Melphalan,35803175
mp,MP,,prednisone,Prednisone,35803268
mpt,MPT,35806286,melphalan,Melphalan,35803175
mpt,MPT,35806286,prednisone,Prednisone,35803268
mpt,MPT,35806286,thalidomide,Thalidomide,35803338
neoadjuvant_chemotherapy,Neoadjuvant Chemotherapy,,neoadjuvant_chemotherapy,Neoadjuvant Chemotherapy,
neratinib_(nerlynx),Neratinib (Nerlynx),,neratinib,Neratinib,35803200
neratinib_(nerlynx)_maintenance,Neratinib (Nerlynx) Maintenance,,neratinib,Neratinib,35803200
noadjuvant_hormonal_therapy,Neoadjuvant Hormonal Therapy,,neoadjuvant_hormonal_therapy,Neoadjuvant Hormonal Therapy,
obinutuzumab,Obinutuzumab (Gazyva) Monotherapy,,obinutuzumab,Obinutuzumab,35803211
obinutuzumab_methylprednisolone,Obinutuzumab + Methylprednisolone,,methylprednisolone,Methylprednisolone,35803181
obinutuzumab_methylprednisolone,Obinutuzumab + Methylprednisolone,,obinutuzumab,Obinutuzumab,35803211
olaparib,Olaparib,,olaparib,Olaparib,35803216
orelabrutinib,Orelabrutinib Monotherapy,,orelabrutinib_ICP022,Orelabrutinib (ICP-022),
other_chemotherapy,Other Chemotherapy,,other_chemotherapy,Other Chemotherapy,
other_lbr,Other Lenalidomide-Based Regimens,,lenalidomide,Lenalidomide (Revlimid),
other_obr,Other Obinutuzumab-Based Regimens,,obinutuzumab,Obinutuzumab,35803211
paclitaxel,Paclitaxel,,paclitaxel,Paclitaxel,35803229
palbociclib,Palbociclib (Ibrance),,palbociclib,Palbociclib,35803231
palliative_splenectomy,Palliative Splenectomy,,splenectomy,Splenectomy,
pamidronate,Pamidronate,,pamidronate,Pamidronate,35803233
pan_bor_dex,Pan-Bor-Dex,,bortezomib_(velcade),Bortezomib (Velcade),
