therapy_code,therapy_title,therapy_concept_id,component_code,component_title,component_concept_id
systemic_corticosteroids_gt_20_mg_day,"systemic corticosteroids (e.g., prednisone) > 20 mg/day",,systemic_corticosteroid,Systemic Corticosteroid,
systemic_corticosteroids_gt_5_mg_day,"systemic corticosteroids (e.g., prednisone) > 5 mg/day",,systemic_corticosteroid,Systemic Corticosteroid,
systemic_corticosteroids_lt_5_mg_day,"systemic corticosteroids (e.g., prednisone) =< 5 mg/day",,systemic_corticosteroid,Systemic Corticosteroid,
talazoparib,Talazoparib,,talazoparib,Talazoparib,35803326
talquetamab,Talquetamab (Talvey),,talquetamab,Talquetamab,37557177
tamoxifen,Tamoxifen,1906727248,tamoxifen,Tamoxifen,35803329
tamoxifen_maintenance,Tamoxifen Maintenance,,tamoxifen,Tamoxifen,35803329
tazemetostat,Tazemetostat (Tazverik),,tazemetostat,Tazemetostat,42542441
teclistamab,Teclistamab (Tecvayli) Monotherapy,,teclistamab,Teclistamab,905786
tenofovir,Tenofovir,,tenofovir,Tenofovir,19011093
thalidomide_monotherapy,Thalidomide Monotherapy,35806271,thalidomide,Thalidomide,35803338
tisagenlecleucel,Tisagenlecleucel (Kymriah) Monotherapy,,tisagenlecleucel,Tisagenlecleucel,35803347
topical_corticosteroids,Topical corticosteroids,,topical_corticosteroid,Topical corticosteroid,
topiramate,Topiramate (Topamax) - anticonvulsant,,topiramate,Topiramate,742267
trastuzumab _(herceptin)_maintenance,Trastuzumab (Herceptin) Maintenance,,trastuzumab,Trastuzumab,35803361
trastuzumab_(herceptin),Trastuzumab (Herceptin),,trastuzumab,Trastuzumab,35803361
trastuzumab_deruxtecan_(t_dxd_enhertu),Trastuzumab deruxtecan (T-DXd / Enhertu),,trastuzumab_deruxtecan,Trastuzumab Deruxtecan,42542260
trastuzumab_deruxtecan_t_dxd_enhertu_maintenance,Trastuzumab deruxtecan (T-DXd / Enhertu) Maintenance,,trastuzumab_deruxtecan,Trastuzumab Deruxtecan,42542260
trastuzumab_emtansine_(t_dm1_kadcyla)_maintenance,Trastuzumab emtansine (T-DM1 / Kadcyla) Maintenance,,trastuzumab_emtansine,Trastuzumab Emtansine,35802866
trastuzumab_emtansine__(t_dm1_kadcyla),Trastuzumab emtansine (T-DM1 / Kadcyla),,trastuzumab_emtansine,Trastuzumab Emtansine,35802866
tucatinib_trastuzumab_capecitabine,Tucatinib + Trastuzumab + Capecitabine,,capecitabine,Capecitabine,35802939
tucatinib_trastuzumab_capecitabine,Tucatinib + Trastuzumab + Capecitabine,,trastuzumab,Trastuzumab,35803361
