therapy_code,disease,round
bortezomib_(velcade)_maintenance,MCL,supportive_therapy
bortezomib_(velcade)_maintenance,C3242,supportive_therapy
plasmapheresis,MCL,supportive_therapy
plasmapheresis,C3242,supportive_therapy
ivig,C9335,supportive_therapy
ivig,C2987,supportive_therapy
ivig,C3209,supportive_therapy
ivig,MCL,supportive_therapy
ivig,C3242,supportive_therapy
ibritumomab_tiuxetan_radioimmunotherapy,C3209,supportive_therapy
ibritumomab_tiuxetan_radioimmunotherapy,MCL,supportive_therapy
lenalidomide_maintenance,C2987,supportive_therapy
lenalidomide_maintenance,C3209,supportive_therapy
lenalidomide_maintenance,MCL,supportive_therapy
lenalidomide_maintenance,C3242,supportive_therapy
rituximab_maintenance_therapy,C2987,supportive_therapy
rituximab_maintenance_therapy,C3209,supportive_therapy
rituximab_maintenance_therapy,MCL,supportive_therapy
exemestane_maintenance,C9335,supportive_therapy
letrozole_maintenance,C9335,supportive_therapy
anastrozole_maintenance,C9335,supportive_therapy
tamoxifen_maintenance,C9335,supportive_therapy
contraceptives,C9335,supportive_therapy
hrt,C9335,supportive_therapy
abemaciclib,C9335,supportive_therapy
ribociclib,C9335,supportive_therapy
palbociclib,C9335,supportive_therapy
lhrh_gnrh_agonists,C9335,supportive_therapy
esa,C9335,supportive_therapy
esa,C2987,supportive_therapy
esa,C3209,supportive_therapy
esa,MCL,supportive_therapy
esa,C3242,supportive_therapy
gm_csf,C9335,supportive_therapy
gm_csf,C3209,supportive_therapy
gm_csf,MCL,supportive_therapy
gm_csf,C3242,supportive_therapy
g_csf,C9335,supportive_therapy
g_csf,C2987,supportive_therapy
g_csf,C3209,supportive_therapy
g_csf,MCL,supportive_therapy
g_csf,C3242,supportive_therapy
denosumab,C9335,supportive_therapy
denosumab,C3209,supportive_therapy
denosumab,C3242,supportive_therapy
zoledronic_acid,C9335,supportive_therapy
zoledronic_acid,C3209,supportive_therapy
zoledronic_acid,C3242,supportive_therapy
pamidronate,C9335,supportive_therapy
pamidronate,C3209,supportive_therapy
pamidronate,C3242,supportive_therapy
grapefruit_juice,C9335,supportive_therapy
grapefruit_juice,C2987,supportive_therapy
grapefruit_juice,C3209,supportive_therapy
grapefruit_juice,MCL,supportive_therapy
grapefruit_juice,C3242,supportive_therapy
st_john_s_wort,C9335,supportive_therapy
st_john_s_wort,C2987,supportive_therapy
st_john_s_wort,C3209,supportive_therapy
st_john_s_wort,MCL,supportive_therapy
st_john_s_wort,C3242,supportive_therapy
topiramate,C9335,supportive_therapy
topiramate,C3209,supportive_therapy
topiramate,MCL,supportive_therapy
topiramate,C3242,supportive_therapy
phenobarbital,C9335,supportive_therapy
phenobarbital,C3209,supportive_therapy
phenobarbital,MCL,supportive_therapy
phenobarbital,C3242,supportive_therapy
phenytoin,C9335,supportive_therapy
phenytoin,C2987,supportive_therapy
phenytoin,C3209,supportive_therapy
phenytoin,MCL,supportive_therapy
phenytoin,C3242,supportive_therapy
carbamazepine,C9335,supportive_therapy
carbamazepine,C2987,supportive_therapy
carbamazepine,C3209,supportive_therapy
carbamazepine,MCL,supportive_therapy
carbamazepine,C3242,supportive_therapy
bupropion,C9335,supportive_therapy
bupropion,C3209,supportive_therapy
bupropion,MCL,supportive_therapy
bupropion,C3242,supportive_therapy
sertraline,C9335,supportive_therapy
sertraline,C3209,supportive_therapy
sertraline,MCL,supportive_therapy
sertraline,C3242,supportive_therapy
fluvoxamine,C9335,supportive_therapy
