component_code,component_title,component_concept_id,class_code,class_title,class_concept_id
alpelisib,Alpelisib,1396423,pi3k_inhibitors,PI3K Inhibitors,35807303
alpelisib,Alpelisib,1396423,targeted_therapy,Targeted Therapy,912163
duvelisib,Duvelisib,35200763,kinase_inhibitors,Kinase Inhibitors,35807197
duvelisib,Duvelisib,35200763,pi3k_inhibitors,PI3K Inhibitors,35807303
duvelisib,Duvelisib,35200763,targeted_therapy,Targeted Therapy,912163
umbralisib,Umbralisib,739804,kinase_inhibitors,Kinase Inhibitors,35807197
umbralisib,Umbralisib,739804,pi3k_inhibitors,PI3K Inhibitors,35807303
umbralisib,Umbralisib,739804,targeted_therapy,Targeted Therapy,912163
idelalisib,Idelalisib,45776944,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
idelalisib,Idelalisib,45776944,kinase_inhibitors,Kinase Inhibitors,35807197
idelalisib,Idelalisib,45776944,pi3k_inhibitors,PI3K Inhibitors,35807303
idelalisib,Idelalisib,45776944,targeted_therapy,Targeted Therapy,912163
copanlisib,Copanlisib,792499,kinase_inhibitors,Kinase Inhibitors,35807197
copanlisib,Copanlisib,792499,pi3k_inhibitors,PI3K Inhibitors,35807303
copanlisib,Copanlisib,792499,targeted_therapy,Targeted Therapy,912163
obinutuzumab,Obinutuzumab,44507676,anti_cd20_monoclonal_antibodies,Anti-CD20 Monoclonal Antibodies,35807389
obinutuzumab,Obinutuzumab,44507676,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
obinutuzumab,Obinutuzumab,44507676,immunotherapy,Immunotherapy,35807189
obinutuzumab,Obinutuzumab,44507676,monoclonal_antibodies,Monoclonal Antibodies,21603754
obinutuzumab,Obinutuzumab,44507676,obinutuzumab_based_regimens,Obinutuzumab-Based Regimens,
bendamustine,Bendamustine,19015523,chemotherapy,Chemotherapy,4273629
bendamustine,Bendamustine,19015523,chemotherapy_(alkylating_agent),Chemotherapy (Alkylating Agent),35807238
bendamustine,Bendamustine,19015523,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
prednisone,Prednisone,1551099,corticosteroids,Corticosteroids,35803578
prednisone,Prednisone,1551099,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
prednisone,Prednisone,1551099,supportive_therapy,Supportive Therapy,35803413
vincristine,Vincristine,1308290,chemotherapy,Chemotherapy,4273629
vincristine,Vincristine,1308290,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
doxorubicin,Doxorubicin,1338512,chemotherapy,Chemotherapy,4273629
doxorubicin,Doxorubicin,1338512,chemotherapy_(anthracycline),Chemotherapy (Anthracycline),35807214
doxorubicin,Doxorubicin,1338512,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
rituximab,Rituximab,1314273,anti_cd20_monoclonal_antibodies,Anti-CD20 Monoclonal Antibodies,35807389
rituximab,Rituximab,1314273,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
rituximab,Rituximab,1314273,immunotherapy,Immunotherapy,35807189
rituximab,Rituximab,1314273,monoclonal_antibodies,Monoclonal Antibodies,21603754
rituximab,Rituximab,1314273,targeted_therapy,Targeted Therapy,912163
glofitamab,Glofitamab,1201501,anti_cd20_anti_cd3_bites,Anti-CD20 / Anti-CD3 BiTEs,1525001
glofitamab,Glofitamab,1201501,bispecific_antibodies,Bispecific Antibodies,35807364
glofitamab,Glofitamab,1201501,immunotherapy,Immunotherapy,35807189
glofitamab,Glofitamab,1201501,monoclonal_antibodies,Monoclonal Antibodies,21603754
glofitamab,Glofitamab,1201501,targeted_therapy,Targeted Therapy,912163
cadonilimab,Cadonilimab,37561559,anti_pd_1_anti_ctla_4_bispecific_antibodies,Anti–PD-1 / Anti–CTLA-4 Bispecific Antibodies,37561464
cadonilimab,Cadonilimab,37561559,bispecific_antibodies,Bispecific Antibodies,35807364
cadonilimab,Cadonilimab,37561559,immune_checkpoint_inhibitors,Immune Checkpoint Inhibitors,3661702
cadonilimab,Cadonilimab,37561559,immunotherapy,Immunotherapy,35807189
cadonilimab,Cadonilimab,37561559,monoclonal_antibodies,Monoclonal Antibodies,21603754
cadonilimab,Cadonilimab,37561559,targeted_therapy,Targeted Therapy,912163
amivantamab,Amivantamab,1536935,bispecific_antibodies,Bispecific Antibodies,35807364
amivantamab,Amivantamab,1536935,immunotherapy,Immunotherapy,35807189
amivantamab,Amivantamab,1536935,monoclonal_antibodies,Monoclonal Antibodies,21603754
amivantamab,Amivantamab,1536935,targeted_therapy,Targeted Therapy,912163
teclistamab,Teclistamab,741578,anti_bcma_anti_cd3_bites,Anti-BCMA / Anti-CD3 BiTEs,37557347
teclistamab,Teclistamab,741578,bispecific_antibodies,Bispecific Antibodies,35807364
teclistamab,Teclistamab,741578,bispecific_t_cell_engagers_(bites),Bispecific T-Cell Engagers (BiTEs),
teclistamab,Teclistamab,741578,immunotherapy,Immunotherapy,35807189
teclistamab,Teclistamab,741578,targeted_therapy,Targeted Therapy,912163
tebentafusp,Tebentafusp,1758886,immunotherapy,Immunotherapy,35807189
mosunetuzumab,Mosunetuzumab,1301307,anti_cd20_anti_cd3_bites,Anti-CD20 / Anti-CD3 BiTEs,1525001
mosunetuzumab,Mosunetuzumab,1301307,bispecific_antibodies,Bispecific Antibodies,35807364
mosunetuzumab,Mosunetuzumab,1301307,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
mosunetuzumab,Mosunetuzumab,1301307,immunotherapy,Immunotherapy,35807189
mosunetuzumab,Mosunetuzumab,1301307,monoclonal_antibodies,Monoclonal Antibodies,21603754
mosunetuzumab,Mosunetuzumab,1301307,targeted_therapy,Targeted Therapy,912163
blinatumomab,Blinatumomab,45892531,anti_cd19_anti_cd3_bites,Anti-CD19 / Anti-CD3 BiTEs,
blinatumomab,Blinatumomab,45892531,bispecific_antibodies,Bispecific Antibodies,35807364
blinatumomab,Blinatumomab,45892531,bispecific_t_cell_engagers_(bites),Bispecific T-Cell Engagers (BiTEs),
blinatumomab,Blinatumomab,45892531,immunomodulatory_drugs_(imids),Immunomodulatory Drugs (IMiDs),35807403
blinatumomab,Blinatumomab,45892531,immunotherapy,Immunotherapy,35807189
blinatumomab,Blinatumomab,45892531,targeted_therapy,Targeted Therapy,912163
catumaxomab,Catumaxomab,35802946,anti_epcam_anti_cd3_bites,Anti-EpCAM / Anti-CD3 BiTEs,37557360
catumaxomab,Catumaxomab,35802946,bispecific_antibodies,Bispecific Antibodies,35807364
catumaxomab,Catumaxomab,35802946,immunotherapy,Immunotherapy,35807189
catumaxomab,Catumaxomab,35802946,monoclonal_antibodies,Monoclonal Antibodies,21603754
catumaxomab,Catumaxomab,35802946,targeted_therapy,Targeted Therapy,912163
cyclophosphamide,Cyclophosphamide,1310317,chemotherapy,Chemotherapy,4273629
cyclophosphamide,Cyclophosphamide,1310317,chemotherapy_(alkylating_agent),Chemotherapy (Alkylating Agent),35807238
cyclophosphamide,Cyclophosphamide,1310317,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
daratumumab,Daratumumab,35605744,anti_cd38_monoclonal_antibodies,Anti-CD38 Monoclonal Antibodies,35807345
daratumumab,Daratumumab,35605744,immunotherapy,Immunotherapy,35807189
daratumumab,Daratumumab,35605744,monoclonal_antibodies,Monoclonal Antibodies,21603754
daratumumab,Daratumumab,35605744,targeted_therapy,Targeted Therapy,912163
dexamethasone,Dexamethasone,1518254,corticosteroids,Corticosteroids,35803578
dexamethasone,Dexamethasone,1518254,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
lenalidomide,Lenalidomide (Revlimid),19026972,immunomodulatory_drugs_(imids),Immunomodulatory Drugs (IMiDs),35807403
lenalidomide,Lenalidomide (Revlimid),19026972,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
lenalidomide,Lenalidomide (Revlimid),19026972,immunotherapy,Immunotherapy,35807189
lenalidomide,Lenalidomide (Revlimid),19026972,lenalidomide_based_regimens,Lenalidomide-Based Regimens,37557971
lenalidomide,Lenalidomide (Revlimid),19026972,thalidomide_analogs,Thalidomide Analogs,
bortezomib_(velcade),Bortezomib (Velcade),1336825,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
bortezomib_(velcade),Bortezomib (Velcade),1336825,proteasome_inhibitors,Proteasome Inhibitors,35807295
bortezomib_(velcade),Bortezomib (Velcade),1336825,targeted_therapy,Targeted Therapy,912163
